Designator,Mid X,Mid Y,Rotation,Layer
C1,195.26,-89.63,180.0,top
C10,190.568362,-81.870544,0.0,top
C11,193.928255,-80.347218,0.0,top
C12,193.928255,-81.870544,0.0,top
C17,149.009433,-107.989085,0.0,top
C18,149.02,-106.47,0.0,top
C2,195.26,-88.12,180.0,top
C3,187.163225,-80.9575,90.0,top
C4,192.418493,-84.336263,270.0,top
C5,118.52,-89.85,0.0,top
C6,118.52,-91.37,0.0,top
C7,182.76,-120.62,0.0,top
C8,190.76,-120.62,0.0,top
C9,190.568362,-80.347218,0.0,top
D1,200.26,-73.62,270.0,top
D2,177.413773,-82.557357,180.0,top
D3,179.390544,-82.557357,0.0,top
D4,187.294124,-78.644875,0.0,top
D6,185.251794,-80.22,90.0,top
J1,116.695,-79.835,180.0,top
J10,130.25,-72.87,90.0,top
J2,119.67,-127.87,90.0,top
J3,143.21,-72.87,270.0,top
J4,152.714177,-121.744314,180.0,top
J5,139.715205,-121.726164,180.0,top
J6,165.255,-126.8375,0.0,top
J7,175.755,-126.8375,0.0,top
J8,162.29,-74.87,180.0,top
J9,102.0,-100.87,0.0,top
R1,182.118494,-82.862357,0.0,top
R10,166.46,-104.295,90.0,top
R13,175.76,-121.12,90.0,top
R14,177.76,-121.12,270.0,top
R15,165.26,-121.12,90.0,top
R16,167.26,-121.12,270.0,top
R2,174.654168,-82.862357,180.0,top
R3,194.156817,-84.536263,270.0,top
R4,114.52,-91.37,180.0,top
R5,198.26,-73.62,270.0,top
R7,175.46,-108.105,90.0,top
R8,169.46,-105.57,90.0,top
R9,172.46,-106.835,90.0,top
SW1,184.765321,-126.115321,90.0,top
SW2,192.77,-126.115321,90.0,top
U1,190.26,-100.12,270.0,top
U2,178.44,-75.37,180.0,top
U3,192.240139,-74.417196,270.0,top
U4,153.02,-104.87,90.0,top
